,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
891,John Mulaney: New in Town,tm72845,tt2246779,8.2,6608.0,159658,Ryan Polito,DIRECTOR
889,Warrior,tm166548,tt1291584,8.2,463276.0,594967,Gavin O'Connor,DIRECTOR
892,John Mulaney: New in Town,tm72845,tt2246779,8.2,6608.0,120637,Jake Szymanski,DIRECTOR
1162,13th,tm244788,tt5895028,8.2,34914.0,5194,Ava DuVernay,DIRECTOR
1260,Kiss the Ground,tm927480,tt8618654,8.2,6607.0,209870,Rebecca Harrell Tickell,DIRECTOR
1079,Rush,tm176864,tt1979320,8.1,465254.0,1324,Ron Howard,DIRECTOR
1220,Bending the Arc,tm313487,tt6370266,8.0,314.0,190017,Kief Davidson,DIRECTOR
1113,The Square,tm187390,tt2486682,8.1,8949.0,117549,Jehane Noujaim,DIRECTOR
1221,Bending the Arc,tm313487,tt6370266,8.0,314.0,111677,Pedro Kos,DIRECTOR
1101,Cowspiracy: The Sustainability Secret,tm151716,tt4344904,8.2,24845.0,103921,Keegan Kuhn,DIRECTOR
1251,Taylor Swift: Reputation Stadium Tour,tm448122,tt9426852,8.3,5293.0,39576,Paul Dugdale,DIRECTOR
1216,Hasan Minhaj: Homecoming King,tm322569,tt6900940,8.2,7120.0,118027,Christopher Storer,DIRECTOR
684,Louis C.K.: Hilarious,tm104880,tt1421373,8.4,11973.0,5231,Louis C.K.,DIRECTOR
894,Bill Burr: You People Are All The Same,tm28171,tt2290153,8.2,7370.0,66544,Jay Karas,DIRECTOR
520,Casino Royale,tm39030,tt0381061,8.0,644336.0,3630,Martin Campbell,DIRECTOR
1328,Seaspiracy,tm1018890,tt14152756,8.1,29604.0,1845995,Ali Tabrizi,DIRECTOR
1099,Bo Burnham: What.,tm162271,tt3210258,8.3,11488.0,118027,Christopher Storer,DIRECTOR
462,How to Train Your Dragon,tm87484,tt0892769,8.1,719717.0,6896,Chris Sanders,DIRECTOR
1252,Chasing Coral,tm313120,tt6333054,8.1,5143.0,64183,Jeff Orlowski,DIRECTOR
712,A Lion in the House,tm25842,tt0492472,8.7,312.0,375280,Steven Bognar,DIRECTOR
711,A Lion in the House,tm25842,tt0492472,8.7,312.0,375281,Julia Reichert,DIRECTOR
198,Once Upon a Time in America,tm180542,tt0087843,8.3,342335.0,37242,Sergio Leone,DIRECTOR
610,The Bourne Ultimatum,tm79442,tt0440963,8.0,627009.0,5565,Paul Greengrass,DIRECTOR
240,Full Metal Jacket,tm22327,tt0093058,8.3,723306.0,21108,Stanley Kubrick,DIRECTOR
1319,Dave Chappelle: The Closer,tm1108321,tt15523010,8.0,24903.0,64710,Stan Lathan,DIRECTOR
78,The Exorcist,tm190788,tt0070047,8.1,391942.0,14255,William Friedkin,DIRECTOR
1315,The Alpinist,tm937814,tt11790780,8.0,7192.0,387166,Peter Mortimer,DIRECTOR
1314,The Alpinist,tm937814,tt11790780,8.0,7192.0,103822,Nick Rosen,DIRECTOR
686,Jeff Dunham: Arguing with Myself,tm30289,tt0806102,8.0,3984.0,65462,Manny Rodriguez,DIRECTOR
1204,Blade Runner 2049,tm239091,tt1856101,8.0,539864.0,3669,Denis Villeneuve,DIRECTOR
682,Blood Diamond,tm32919,tt0450259,8.0,536858.0,17235,Edward Zwick,DIRECTOR
825,Django Unchained,tm41792,tt1853728,8.4,1472668.0,2266,Quentin Tarantino,DIRECTOR
1165,Bo Burnham: Make Happy,tm242736,tt5777636,8.4,14356.0,118027,Christopher Storer,DIRECTOR
1166,Bo Burnham: Make Happy,tm242736,tt5777636,8.4,14356.0,308,Bo Burnham,DIRECTOR
564,Big Fish,tm139658,tt0319061,8.0,435503.0,8212,Tim Burton,DIRECTOR
1275,Dave Chappelle: Sticks & Stones,tm827142,tt10810424,8.4,25687.0,64710,Stan Lathan,DIRECTOR
896,Sebastian Maniscalco: What's Wrong with People?,tm53034,tt2215489,8.0,1194.0,65462,Manny Rodriguez,DIRECTOR
81,Richard Pryor: Live in Concert,tm69997,tt0079807,8.1,5141.0,65063,Jeff Margolis,DIRECTOR
1214,Cuba and the Cameraman,tm349529,tt7320560,8.3,4715.0,69510,Jon Alpert,DIRECTOR
1317,Bo Burnham: Inside,tm1038686,tt14545352,8.7,44074.0,308,Bo Burnham,DIRECTOR
115,Stand by Me,tm111075,tt0092005,8.1,392790.0,224,Rob Reiner,DIRECTOR
1130,Winter on Fire: Ukraine's Fight for Freedom,tm220594,tt4908644,8.3,17710.0,65529,Evgeny Afineevsky,DIRECTOR
1001,The Imitation Game,tm140877,tt2084970,8.0,748654.0,76789,Morten Tyldum,DIRECTOR
1273,The Silence of Others,tm369389,tt8099236,8.0,2048.0,391989,Robert Bahar,DIRECTOR
1272,The Silence of Others,tm369389,tt8099236,8.0,2048.0,391988,Almudena Carracedo,DIRECTOR
1105,Bill Burr: I'm Sorry You Feel That Way,tm149038,tt3823690,8.3,7954.0,66544,Jay Karas,DIRECTOR
36,Taxi Driver,tm84618,tt0075314,8.3,795222.0,3308,Martin Scorsese,DIRECTOR
1096,The Battered Bastards of Baseball,tm148976,tt3445270,8.0,3953.0,66549,Chapman Way,DIRECTOR
1097,The Battered Bastards of Baseball,tm148976,tt3445270,8.0,3953.0,66550,Maclain Way,DIRECTOR
1263,Bill Burr: Paper Tiger,tm827216,tt10847306,8.1,10649.0,29693,Mike Binder,DIRECTOR
463,How to Train Your Dragon,tm87484,tt0892769,8.1,719717.0,6895,Dean DeBlois,DIRECTOR
1100,Bo Burnham: What.,tm162271,tt3210258,8.3,11488.0,308,Bo Burnham,DIRECTOR
1103,Mike Birbiglia: My Girlfriend's Boyfriend,tm171965,tt2937390,8.0,3284.0,17073,Seth Barrish,DIRECTOR
1329,In Our Mothers' Gardens,tm1040733,tt14369930,8.6,124.0,1904729,Shantrelle P. Lewis,DIRECTOR
448,Inception,tm92641,tt1375666,8.8,2268288.0,1725,Christopher Nolan,DIRECTOR
400,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2779,Steven Spielberg,DIRECTOR
655,Into the Wild,tm76066,tt0758758,8.1,611379.0,6123,Sean Penn,DIRECTOR
1207,Springsteen On Broadway,tm445735,tt8716334,8.5,2178.0,175889,Thom Zimny,DIRECTOR
705,Swades,tm82765,tt0367110,8.1,89085.0,68596,Ashutosh Gowariker,DIRECTOR
1306,Disclosure,tm845437,tt8637504,8.2,5301.0,300417,Sam Feder,DIRECTOR
1115,Jim Jefferies: Bare,tm149914,tt3958494,8.0,5407.0,701746,Shannon Hartman,DIRECTOR
933,Her,tm169422,tt1798709,8.0,586679.0,4096,Spike Jonze,DIRECTOR
317,Forrest Gump,tm122434,tt0109830,8.8,1994599.0,3238,Robert Zemeckis,DIRECTOR
1261,Kiss the Ground,tm927480,tt8618654,8.2,6607.0,288984,Joshua Tickell,DIRECTOR
